# Fictional streaming platform data for the past 30 days
date         hours_watched  new_subscribers  churn_rate  top_genre
2025-09-01   45200          320              2.1         Drama
2025-09-02   48500          345              1.8         Comedy
2025-09-03   42800          290              2.5         Drama
2025-09-04   51200          380              1.6         Action
2025-09-05   55800          425              1.4         Sci-Fi
2025-09-06   58200          460              1.2         Action
2025-09-07   62500          490              1.0         Comedy
2025-09-08   47300          315              2.3         Documentary
2025-09-09   49800          350              1.9         Drama
2025-09-10   53400          395              1.5         Horror
2025-09-11   56100          430              1.3         Action
2025-09-12   59800          470              1.1         Sci-Fi
2025-09-13   61200          485              1.0         Comedy
2025-09-14   57500          445              1.3         Drama
2025-09-15   50200          360              1.8         Documentary
2025-09-16   52600          385              1.6         Horror
2025-09-17   55300          415              1.4         Action
2025-09-18   58900          455              1.2         Sci-Fi
2025-09-19   63500          505              0.9         Comedy
2025-09-20   65800          530              0.8         Action
2025-09-21   60200          480              1.1         Drama
2025-09-22   54700          405              1.5         Documentary
2025-09-23   57200          440              1.3         Horror
2025-09-24   61800          495              1.0         Action
2025-09-25   64500          520              0.9         Sci-Fi
2025-09-26   62800          500              1.0         Comedy
2025-09-27   58400          450              1.2         Drama
2025-09-28   55900          420              1.4         Action
2025-09-29   60500          475              1.1         Sci-Fi
2025-09-30   63200          510              0.9         Comedy
